,final_energy,formation_energy
1,-257.33309904,0.2908782421354168
5,-250.44940269999998,0.3159207965104169
6,-266.99090038,0.3211542227604163
7,-297.53887156,0.2308150533854158
8,-307.55498791,0.3828510823437501
9,-257.35488768,0.1926909461458334
10,-184.04089121,0.2990421130208331
11,-245.21485868,0.2164782104687499
12,-282.17549616,0.2705250635416663
14,-330.06394465,0.1027415029687501
15,-281.40603676,0.0825427789583335
17,-308.31093202,0.4013566139583338
18,-302.4942364,0.2748557843750001
19,-318.29758168,0.033436044114584
20,-319.33918924,0.2339702646875006
21,-251.58308416,0.2441478610416663
22,-187.22936026,0.1752780300520835
23,-309.59656588,0.2380823200520829
24,-248.36003473,0.3121707556249999
27,-297.18730059,0.1196746233333341
28,-266.49754817,0.3384505483333333
29,-288.38379295,0.3857654910937507
30,-246.93908955,0.327677323854167
31,-260.41611932,0.4454566715624999
32,-298.35737306,0.3157913529166656
33,-261.49378127,0.3118380136458327
35,-305.37287216,0.2635421090624996
37,-279.55340183,0.2482901539062503
38,-271.41467729,0.2197079666666672
39,-191.49626962,0.2389680049999998
40,-229.55100534,0.3320960355208338
41,-307.72178087,0.31021177171875
42,-302.10569744,0.347077046041667
43,-311.98749715,0.2652270392187494
44,-259.83930685,0.1838678747395832
46,-307.5949158,0.2118437094791661
47,-272.27315091,0.2386331848437493
48,-267.67885396,0.1201481477604167
49,-244.53661173,0.3540742760416666
50,-293.2182934,0.216585919427084
51,-276.31875737,0.0859840921874992
52,-258.92683868,0.3502177084375004
53,-258.6259774,0.2722570015104164
54,-301.22614433,0.1968902108854164
55,-218.65923502,0.35890250265625
56,-263.32931341,0.156466420572916
59,-289.83026507,0.2621043384375001
60,-311.43821119999996,0.31408887781249895
61,-262.42338968,0.2436954459895828
62,-314.64169136,0.3562838620312503
63,-236.17488406,0.4260463279687494
64,-246.46224036,0.347675123229167
66,-245.85457144,0.3340302622916664
67,-245.92471333,0.0956884224999998
69,-206.36059450000002,0.3667023742187503
70,-228.37189869,0.3246484821354172
72,-310.71593055,0.2285326242187499
73,-225.62110793,0.2040859159374997
74,-281.24166397,0.2764519909374998
75,-276.13208295,0.2911556043750005
76,-272.27363536,0.2383044351041663
77,-250.74162732,0.1969033606250003
79,-290.22128068,0.2069980635416666
80,-263.63475057,0.3399290551041671
81,-296.25676859,0.2872302010937506
82,-262.56730699,0.2033497926562493
83,-266.71514584,0.2735601077604173
86,-281.45964407,0.2820987690624994
88,-235.04374489,0.4166837328645836
90,-276.67612022,0.3272197410937503
92,-260.19476824,0.3880671656250003
93,-317.6491568,0.3364894492708332
94,-265.93381419,0.0666138497916666
95,-265.26681349999996,0.227013290260416
96,-290.33663966,0.3312564131249997
97,-278.95060597,0.4197775716666658
99,-270.53159811,0.3734400832291662
100,-275.24530159,0.3893064210937487
102,-231.05780976,0.4082069752083335
104,-270.88454963,0.4557285139062506
105,-261.05594068,0.2513492559895836
106,-272.14890913,0.3003243657812504
107,-308.93081621,0.2504922421874997
108,-308.26510798,0.3335120473958328
109,-297.79660073,0.2352775189583331
110,-265.9844017,0.3488786886979165
111,-264.11972887,0.3356991192708332
112,-263.77368653,0.350693728125
113,-281.51061538,0.1225141235937501
114,-239.49564216,0.3054524519791668
115,-322.32210954,0.2930961508333327
116,-229.71879565,0.3612640736979164
118,-291.94766592,0.3297587957291661
119,-254.03363230000002,0.3565452978645838
120,-258.71630474,0.2104533732812505
122,-251.55702506,0.3026717440624997
123,-300.87853191,0.1936042445833337
125,-242.45883002,0.3950290991145824
126,-317.6980603,0.0749818440625
127,-194.28302674,0.3510282196875001
128,-285.78631854,0.1832679520312492
130,-251.18136835,0.2984045761458329
131,-244.29007958,0.3516864936979162
134,-281.02454799,0.2744748678645834
135,-280.59076079,0.3956368826562499
137,-312.1466338,0.2259697236458331
138,-206.36359686,0.151141674427083
143,-291.42179696,0.308221573229166
144,-253.38959587,0.1057551628124997
145,-251.20708879,0.0091078856250002
146,-268.94588799,0.1801204083854166
147,-245.72721069,0.2983118452604163
148,-292.80660738,0.3200209923437498
149,-215.89482923,0.3409270463541669
151,-272.37217442,0.3328969542187501
152,-256.10928082,0.2497013919791673
154,-301.55334205,0.1651437451041664
155,-323.30162303,0.2831608128125005
157,-307.09300858,0.3811915089062498
158,-317.73552769,0.2621473999999999
159,-268.08996225,0.2343226004166672
160,-281.61674089,0.2186354245833328
161,-269.58585804,0.2218630659375007
162,-300.86746338,0.3708563901562502
163,-268.81059898,0.2346861855729169
164,-285.03652116,0.1772134085416663
165,-304.05184983,0.3677009077083326
166,-238.38046922,0.2741733001562498
167,-290.27074322,0.3232333278124999
169,-230.13791871,0.3982750352083326
170,-264.40272014,0.2425364591666667
171,-206.22739622,0.3001415671354168
172,-265.01070628,0.2045947640624996
173,-293.89629965,0.1052532261979166
174,-309.21390994,0.3464192316145826
175,-219.49456742,0.1226241953645832
176,-226.16887918,0.3869634669270834
177,-250.46768873,0.1558418988020835
178,-288.66792736,0.222765598697916
179,-246.67816606,0.3441406940625007
181,-267.247164,0.1933389067187505
182,-293.41164142,0.3630724316666658
183,-268.55065091,0.2463670710937497
185,-261.76475775,0.2281154751041665
186,-248.18662932,0.3974745431770836
187,-323.42695683,0.3041142334895834
189,-246.94277998,0.3717958633333333
192,-207.98344381,0.3676049651562496
193,-331.68641617,0.1771916077083339
194,-292.21892282,0.3637779421354166
196,-300.62080789,0.0438381339062496
197,-231.13918983,0.2426961695833336
198,-291.80044556,0.0896998605729164
199,-252.95442406,0.3351503911458326
200,-230.64434244,0.0468331691145831
256,-240.11121086,0.3474690003125
257,-352.62417749,0.2700690267187493
258,-173.55506507,0.1207311649479163
259,-333.69496589,-0.0374969020312496
